h3,incidents,avg_on_scene,min_on_scene,max_on_scene,geometry
88283084a5fffff,123,15.146341463414634,0.0,48.0,"POLYGON ((-122.53747295192323 37.906708947108534, -122.53300105768074 37.91025371953493, -122.53445498641511 37.91493666483906, -122.54038114685241 37.91607465140334, -122.54485282465626 37.91252976297846, -122.54339855851015 37.90784700399766, -122.53747295192323 37.906708947108534))"
88283084a7fffff,28,17.321428571428573,0.0,53.0,"POLYGON ((-122.54485282465626 37.91252976297846, -122.54038114685241 37.91607465140334, -122.54183542073373 37.920757150544034, -122.5477617097989 37.9218945749167, -122.55223317097867 37.91834957054633, -122.55077855976606 37.913667257758675, -122.54485282465626 37.91252976297846))"
88283084a9fffff,167,15.10179640718563,0.0,77.0,"POLYGON ((-122.55088601747941 37.896073640592746, -122.54641543181323 37.899618907544905, -122.54786969019571 37.90430192620399, -122.5537948714206 37.9054394914402, -122.55826524039988 37.90189410851187, -122.55681064488986 37.89721127633333, -122.55088601747941 37.896073640592746))"
88283084abfffff,154,15.603896103896103,0.0,58.0,"POLYGON ((-122.55826524039988 37.90189410851187, -122.5537948714206 37.9054394914402, -122.5552494747961 37.91012206400421, -122.56117478424666 37.91125906713952, -122.56564493635376 37.90771356828806, -122.56418999593119 37.90303118223428, -122.55826524039988 37.90189410851187))"
88283084adfffff,593,13.397976391231028,0.0,200.0,"POLYGON ((-122.54049037900631 37.89848078028255, -122.53601903085058 37.90202574206237, -122.53747295192323 37.906708947108534, -122.54339855851015 37.90784700399766, -122.54786969019571 37.90430192620399, -122.54641543181323 37.899618907544905, -122.54049037900631 37.89848078028255))"
88283084b1fffff,1,19.0,19.0,19.0,"POLYGON ((-122.57302510514164 37.91353201971897, -122.5685551700921 37.91707763444043, -122.5700104634326 37.92175931443114, -122.57593602875735 37.922895193140775, -122.58040574656408 37.919349462602405, -122.57895011633762 37.91466796918116, -122.57302510514164 37.91353201971897))"
88283084b3fffff,5,55.8,0.0,200.0,"POLYGON ((-122.58040574656408 37.919349462602405, -122.57593602875735 37.922895193140775, -122.57739166706975 37.927576426653395, -122.58331736004291 37.92871174303851, -122.58778686042145 37.925165896736345, -122.58633088530375 37.92048484982272, -122.58040574656408 37.919349462602405))"
88283084b5fffff,10,15.7,0.0,24.0,"POLYGON ((-122.56262973260823 37.9159411934807, -122.558159034419 37.919486503142934, -122.55961399069113 37.92416836960973, -122.56553998226958 37.92530473994807, -122.5700104634326 37.92175931443114, -122.5685551700921 37.91707763444043, -122.56262973260823 37.9159411934807))"
88283084b9fffff,22,16.545454545454547,0.0,98.0,"POLYGON ((-122.5760392088487 37.90530427620185, -122.57156981981359 37.90885007991765, -122.57302510514164 37.91353201971897, -122.57895011633762 37.91466796918116, -122.58341928809868 37.911122049633136, -122.58196366598654 37.90644029646498, -122.5760392088487 37.90530427620185))"
88283084bbfffff,34,20.176470588235293,0.0,200.0,"POLYGON ((-122.58341928809868 37.911122049633136, -122.57895011633762 37.91466796918116, -122.58040574656408 37.919349462602405, -122.58633088530375 37.92048484982272, -122.59079983960545 37.916938814495595, -122.58934387267554 37.91225750773708, -122.58341928809868 37.911122049633136))"
